ID,Nom de l'astéroïde,Diamètre minimal estimé (km),Magnitude absolue,Vitesse relative (km/s)
2152931,152931 (2000 EA107),1.4340192346,16.34,27.8999562208
3669253,(2014 HQ124),0.437074004,18.92,18.7140123696
54075578,(2020 UJ2),0.0451393163,23.85,16.6654359864
54103603,(2020 YC5),0.1272198785,21.6,11.0629000181
54130489,(2021 EP1),0.0096506147,27.2,17.0190005615
54137806,(2021 GL16),0.0147419515,26.28,6.0139116647
54215203,(2021 VF),0.0071540995,27.85,6.3176807637
54335005,(2022 YG),0.0118728499,26.75,4.3078251171
54349260,(2023 FG),0.0084441313,27.49,9.156770975
54358577,(2023 JD3),0.0876102615,22.41,15.9469240922
54359864,(2023 KA3),0.0389542616,24.17,24.5646431276
54502459,(2024 WX15),0.0363542322,24.32,5.8105059011
54502651,(2024 WX18),0.0586887658,23.28,12.1475742369
54502893,(2024 XB2),0.0689532874,22.93,10.5666098925
54504553,(2024 XT6),0.0295498293,24.77,6.4184937713
